date,factor,ic,rank_ic,n
2024-04-12,bp,0.2540648123213705,0.2546230440967283,38
2024-04-12,ep,0.18426375623319938,0.3894736842105263,39
2024-04-12,mom_20,-0.26393444129520505,-0.2958188153310105,41
2024-04-12,mom_60,-0.3146645485966023,-0.2923344947735192,41
2024-04-12,roe,-0.06687825663047202,-0.0022514071294559104,40
2024-04-15,bp,0.2728320781424581,0.276726118831382,38
2024-04-15,ep,0.16237386772035642,0.3107287449392713,39
2024-04-15,mom_20,-0.09478476160868067,-0.09843205574912894,41
2024-04-15,mom_60,-0.13929453701624436,-0.1777003484320558,41
2024-04-15,roe,-0.09423563993243163,-0.06172607879924954,40
2024-04-16,bp,0.4259776112472,0.3349381770434402,38
2024-04-16,ep,0.2378472571723684,0.3157894736842105,39
2024-04-16,mom_20,0.029941258096202305,-0.04616724738675959,41
2024-04-16,mom_60,-0.02868091360996866,-0.06707317073170732,41
2024-04-16,roe,-0.09637121192212005,-0.14634146341463417,40
2024-04-17,bp,0.2855368200048695,0.3780501148922202,38
2024-04-17,ep,0.02100748524908018,0.1742914979757085,39
2024-04-17,mom_20,0.07274842017517509,0.09442508710801395,41
2024-04-17,mom_60,-0.2311342827426717,-0.15174216027874568,41
2024-04-17,roe,-0.14170974647302093,-0.3095684803001877,40
2024-04-18,bp,0.17002329758914714,0.3765182186234818,38
2024-04-18,ep,-0.0006550464768997771,0.27186234817813765,39
2024-04-18,mom_20,-0.13759315894652752,0.0888501742160279,41
2024-04-18,mom_60,-0.4438569859286123,-0.12160278745644601,41
2024-04-18,roe,-0.08698448808203345,-0.25647279549718577,40
2024-04-19,bp,0.03767863672028477,0.12309880730933362,38
2024-04-19,ep,0.038969855291058904,0.012753036437246963,39
2024-04-19,mom_20,-0.3616383536386616,-0.2503484320557492,41
2024-04-19,mom_60,-0.28201487787708435,-0.13432055749128924,41
2024-04-19,roe,-0.08966067057516278,-0.09155722326454035,40
2024-04-22,bp,-0.09079402941915196,0.004923952292373345,38
2024-04-22,ep,-0.12918796576821917,-0.08603238866396762,39
2024-04-22,mom_20,-0.44417644339355994,-0.2609756097560976,41
2024-04-22,mom_60,-0.39538651960339405,-0.13867595818815334,41
2024-04-22,roe,-0.040062105758363276,-0.010506566604127581,40
2024-04-23,bp,-0.1850008131890726,-0.2255170149906992,38
2024-04-23,ep,-0.1921218507346788,-0.1194331983805668,39
2024-04-23,mom_20,-0.42173745895234976,-0.15871080139372826,41
2024-04-23,mom_60,-0.40008535223949554,-0.12874564459930316,41
2024-04-23,roe,-0.003888520625620327,0.15909943714821767,40
2024-04-24,bp,-0.15486177518884175,-0.25790567895831057,38
2024-04-24,ep,-0.09949212073727821,-0.19109311740890692,39
2024-04-24,mom_20,-0.22814887772795614,-0.15000000000000005,41
2024-04-24,mom_60,-0.2689130371538903,-0.1594076655052265,41
2024-04-24,roe,0.05913605772335151,0.19193245778611634,40
2024-04-25,bp,-0.215251882842966,-0.36754568333515697,38
2024-04-25,ep,-0.11223171749213434,-0.2716599190283401,39
2024-04-25,mom_20,-0.12121487985381899,-0.2163763066202091,41
